종목코드,종목명,종가,대비,등락률,상장시가총액
"272550","삼양패키징","23600","250","1.07","335351.0"
"281820","케이씨텍","24800","750","3.12","517367.0"
"293480","하나제약","19300","550","2.93","343018.0"
"298690","에어부산","2155","35","1.65","417898.0"
"317400","자이에스앤디","9390","180","1.95","364168.0"
"339770","교촌에프앤비","16200","200","1.25","404717.0"
"084690","대상홀딩스","9260","70","0.76","335328.0"
"091810","티웨이항공","3050","85","2.87","336507.0"
"092220","KEC","3675","-35","-0.94","490663.0"
"093050","LF","17500","350","2.04","511700.0"
"095720","웅진씽크빅","3115","20","0.65","359801.0"
"104700","한국철강","7610","150","2.01","350441.0"
"107590","미원홀딩스","144000","1000","0.70","334080.0"
"122900","아이마켓코리아","10750","50","0.47","359360.0"
"123890","한국자산신탁","4200","70","1.69","520707.0"
"126560","현대퓨처넷","4260","60","1.43","480854.0"
"130660","한전산업","13100","350","2.75","427060.0"
"138250","엔에스쇼핑","13050","50","0.38","439733.0"
"138490","코오롱플라스틱","13100","300","2.34","497800.0"
"139990","아주스틸","18300","250","1.39","484075.0"
"183190","아세아시멘트","119500","3000","2.58","465549.0"
"213500","한솔제지","13500","200","1.50","321308.0"
"214330","금호에이치티","2315","0","0.00","451414.0"
"226320","잇츠한불","17900","550","3.17","392535.0"
"025860","남해화학","10600","100","0.95","526596.0"
"027410","BGF","5140","70","1.38","491984.0"
"029530","신도리코","32950","150","0.46","332137.0"
"030210","KTB투자증권","6190","110","1.81","373344.0"
"031440","신세계푸드","83800","5300","6.75","324514.0"
"033180","KH 필룩스","2570","75","3.01","351397.0"
"033240","자화전자","20150","1350","7.18","360685.0"
"037560","LG헬로비전","5720","80","1.42","442996.0"
"053210","스카이라이프","9110","310","3.52","435658.0"
"055490","테이팩스","81000","800","1.00","382130.0"
"058430","포스코강판","55200","400","0.73","331200.0"
"058650","세아홀딩스","105500","5500","5.50","422000.0"
"060980","한라홀딩스","45500","1000","2.25","476479.0"
"068290","삼성출판사","34950","-1050","-2.92","349500.0"
"068400","SK렌터카","10400","400","4.00","491773.0"
"071320","지역난방공사","37550","350","0.94","434782.0"
"072710","농심홀딩스","76600","600","0.79","355255.0"
"075580","세진중공업","5580","130","2.39","317220.0"
"081000","일진다이아","31950","500","1.59","453785.0"
"082740","HSD엔진","7850","40","0.51","366762.0"
"084010","대한제강","15550","50","0.32","383257.0"
"011690","와이투솔루션","2440","0","0.00","359255.0"
"011930","신성이엔지","1840","25","1.38","375479.0"
"013360","일성건설","6340","120","1.93","342518.0"
"016580","환인제약","17200","150","0.88","319921.0"
"016590","신대양제지","83700","1400","1.70","337293.0"
"016800","퍼시스","38050","650","1.74","437575.0"
"017940","E1","47400","700","1.50","325164.0"
"017960","한국카본","9950","30","0.30","437410.0"
"018250","애경산업","19200","200","1.05","507071.0"
"019680","대교","3860","40","1.05","326953.0"
"024090","디씨엠","30950","1650","5.63","362115.0"
"024720","한국콜마홀딩스","19300","400","2.12","358531.0"
"005180","빙그레","51800","400","0.78","510294.0"
"005390","신성통상","3490","305","9.58","501542.0"
"005420","코스모화학","14500","200","1.40","403972.0"
"005500","삼진제약","25650","200","0.79","356535.0"
"005950","이수화학","16750","50","0.30","468322.0"
"005960","동부건설","14650","-50","-0.34","333124.0"
"006060","화승인더","5900","80","1.37","326388.0"
"006490","인스코비","3335","110","3.41","366343.0"
"007690","국도화학","58000","2700","4.88","522616.0"
"008490","서흥","42550","650","1.55","492266.0"
"009160","SIMPAC","6810","410","6.41","445575.0"
"009290","광동제약","7190","350","5.12","376906.0"
"009410","태영건설","10150","160","1.60","394826.0"
"009680","모토닉","10150","220","2.22","334950.0"
"002320","한진","30100","-450","-1.47","449924.0"
"002960","한국쉘석유","274500","2500","0.92","356850.0"
"002990","금호건설","11500","50","0.44","421290.0"
"003030","세아제강지주","110000","500","0.46","455582.0"
"003060","에이프로젠제약","872","18","2.11","347558.0"
"003220","대원제약","16000","500","3.23","339597.0"
"003300","한일홀딩스","12900","450","3.61","371724.0"
"003620","쌍용차","2770","0","0.00","415057.0"
"004430","송원산업","19950","-100","-0.50","478800.0"
"004690","삼천리","86900","1800","2.12","352382.0"
"004700","조광피혁","53400","100","0.19","355064.0"
"004890","동일산업","139500","0","0.00","338317.0"
"088260","이리츠코크렙","6050","40","0.67","383217.0"
"293940","신한알파리츠","7940","-50","-0.63","415501.0"
"357120","코람코에너지리츠","6340","70","1.12","441391.0"
"377190","디앤디플랫폼리츠","5340","-10","-0.19","343896.0"
"000020","동화약품","14950","150","1.01","417575.0"
"000050","경방","13500","150","1.12","370106.0"
"000370","한화손해보험","3715","65","1.78","433685.0"
"000400","롯데손해보험","1665","30","1.83","516710.0"
"000480","조선내화","83500","1400","1.71","334000.0"
